stateID,state,stateAR,localityID,locality,localityAR
1,Northern,الولاية الشمالية,1,Dongola,دنقلا
1,Northern,الولاية الشمالية,2,El Golid,القولد
1,Northern,الولاية الشمالية,3,Merwoe,مروي
1,Northern,الولاية الشمالية,4,El Daba,الدبة|الدبة
1,Northern,الولاية الشمالية,5,Halfa,حلفا
1,Northern,الولاية الشمالية,6,Delgo,دلقو
1,Northern,الولاية الشمالية,7,El Burgaig,البرقيق
2,River Nile,ولاية نهر النيل,8,El Matama,المتمة
2,River Nile,ولاية نهر النيل,9,Shendi,شندي
2,River Nile,ولاية نهر النيل,10,Abu Hamad,أبوحمد
2,River Nile,ولاية نهر النيل,11,Barbar,بربر
2,River Nile,ولاية نهر النيل,12,El Damar,الدامر
2,River Nile,ولاية نهر النيل,13,Atbara,عطبرة
2,River Nile,ولاية نهر النيل,14,El Buhaira,البحيرة
3,Khartoum,ولاية الخرطوم,15,Khartoum,الخرطوم
3,Khartoum,ولاية الخرطوم,16,Bahri,بحري
3,Khartoum,ولاية الخرطوم,17,Um Durman,أم درمان
3,Khartoum,ولاية الخرطوم,18,Um Bada,أمبدة
3,Khartoum,ولاية الخرطوم,19,Jebel Awlia,جبل أولياء
3,Khartoum,ولاية الخرطوم,20,Sharg Elneel,شرق النيل
3,Khartoum,ولاية الخرطوم,21,Karrari,كرري
4,Al-Gazeera,ولاية الجزيرة,22,Greater Medani,مدني
4,Al-Gazeera,ولاية الجزيرة,23,Ganub Elgazira,جنوب الجزيرة
4,Al-Gazeera,ولاية الجزيرة,24,El Hassahisa,الحصاحيصا
4,Al-Gazeera,ولاية الجزيرة,25,El Kamlin,الكاملين
4,Al-Gazeera,ولاية الجزيرة,26,Sharg El Gezira,شرق الجزيرة
4,Al-Gazeera,ولاية الجزيرة,27,Um Elqura,أم القرى
4,Al-Gazeera,ولاية الجزيرة,28,El Manaqil,المناقل
4,Al-Gazeera,ولاية الجزيرة,29,El Qurashi,القرشي
5,Red Sea,ولاية البحر الأحمر,30,Port Sudan,بورتسودان
5,Red Sea,ولاية البحر الأحمر,31,Swakin,سواكن
5,Red Sea,ولاية البحر الأحمر,32,El Ganab Elawlait,القنب و الأوليب
5,Red Sea,ولاية البحر الأحمر,33,Sinkat,سنكات
5,Red Sea,ولاية البحر الأحمر,34,Haya,هيا
