"stateID","state","Indicator","Type","Estimate","X95..LCL","X95..UCL"
7,"Al-Gadarif","ANC : Gestational age (months) at first ANC visit for most recent pregnancy","Mean",3.4611,3.0564,3.8658
7,"Al-Gadarif","ANC : Number of ANC visits during most recent pregnancy","Mean",3.0855,2.6274,3.5436
7,"Al-Gadarif","ANC : Did not attend ANC during most recent pregnancy","Proportion",0.1865,0.1049,0.2682
7,"Al-Gadarif","ANC : Attended four or more ANC visits during most recent pregnancy","Proportion",0.3853,0.2901,0.4805
7,"Al-Gadarif","ANC : Number of months FeFol tablets consumed during most recent pregnancy","Mean",2.4579,2.042,2.8738
7,"Al-Gadarif","ANC : Consumed any FeFol tablets during most recent pregnancy","Proportion",0.7403,0.6546,0.8259
7,"Al-Gadarif","ANC : Consumed FeFol tablets for at least 3 months during most recent pregnancy","Proportion",0.4643,0.3666,0.562
7,"Al-Gadarif","ANC : Received Vitamin A tablets postpartum (most recent birth)","Proportion",0.233,0.1312,0.3348
7,"Al-Gadarif","ANC : Experienced night-blindness during most recent pregnancy","Proportion",0.1162,0.0474,0.1851
7,"Al-Gadarif","ANC : Received postnatal care (most recent birth)","Proportion",0.3153,0.223,0.4077
7,"Al-Gadarif","ANC : Received tetanus vaccination (2 doses)","Proportion",0.6701,0.5684,0.7718
7,"Al-Gadarif","Health & Nutrition Messages : Carer aware of growth monitoring program","Proportion",0.2956,0.1834,0.4078
7,"Al-Gadarif","Health & Nutrition Messages : Carer aware of CMAM","Proportion",0.4225,0.3097,0.5353
7,"Al-Gadarif","Health & Nutrition Messages : Carer received health and nutrition messages","Proportion",0.3963,0.2874,0.5051
7,"Al-Gadarif","Health & Nutrition Messages : Preferred TV channel : Sudan TV","Proportion",0.0453,9e-04,0.0896
7,"Al-Gadarif","Health & Nutrition Messages : Preferred TV channel : Local State TV","Proportion",0.0103,1e-04,0.0227
7,"Al-Gadarif","Health & Nutrition Messages : Preferred TV channel : Blue Nile TV","Proportion",0.035,1e-04,0.0706
7,"Al-Gadarif","Health & Nutrition Messages : Preferred TV channel : Sudania 24","Proportion",0.0051,1e-04,0.0155
7,"Al-Gadarif","Health & Nutrition Messages : Preferred TV channel : Umdurman TV","Proportion",0.0252,1e-04,0.052
