"stateID","state","Indicator","Type","Estimate","X95..LCL","X95..UCL"
7,"Al-Gadarif","Education : Access to preschool education - ALL children","Proportion",0.5284,0.3854,0.6715
7,"Al-Gadarif","Education : Access to basic education - ALL children","Proportion",0.8082,0.7015,0.9149
7,"Al-Gadarif","Education : Access to education (preschool or basic) - ALL children","Proportion",0.7203,0.614,0.8266
7,"Al-Gadarif","Education : Access to preschool education - MALES","Proportion",0.5287,0.36,0.6973
7,"Al-Gadarif","Education : Access to basic education - MALES","Proportion",0.8103,0.6879,0.9327
7,"Al-Gadarif","Education : Access to education (preschool or basic) - MALES","Proportion",0.7212,0.6108,0.8316
7,"Al-Gadarif","Education : Access to preschool education - FEMALES","Proportion",0.5264,0.369,0.6837
7,"Al-Gadarif","Education : Access to basic education - FEMALES","Proportion",0.8125,0.6967,0.9282
7,"Al-Gadarif","Education : Access to education (preschool or basic) - FEMALES","Proportion",0.7186,0.6064,0.8308
4,"Al-Gazeera","Education : Access to preschool education - ALL children","Proportion",0.7253,0.5772,0.8735
4,"Al-Gazeera","Education : Access to basic education - ALL children","Proportion",0.9085,0.8418,0.9752
4,"Al-Gazeera","Education : Access to education (preschool or basic) - ALL children","Proportion",0.858,0.772,0.9441
4,"Al-Gazeera","Education : Access to preschool education - MALES","Proportion",0.7113,0.5511,0.8715
4,"Al-Gazeera","Education : Access to basic education - MALES","Proportion",0.9154,0.8545,0.9764
4,"Al-Gazeera","Education : Access to education (preschool or basic) - MALES","Proportion",0.864,0.7859,0.9421
4,"Al-Gazeera","Education : Access to preschool education - FEMALES","Proportion",0.7418,0.5855,0.8982
4,"Al-Gazeera","Education : Access to basic education - FEMALES","Proportion",0.8997,0.8203,0.9791
4,"Al-Gazeera","Education : Access to education (preschool or basic) - FEMALES","Proportion",0.8512,0.7607,0.9417
9,"Blue Nile","Education : Access to preschool education - ALL children","Proportion",0.4566,0.3364,0.5768
9,"Blue Nile","Education : Access to basic education - ALL children","Proportion",0.7174,0.5977,0.837
9,"Blue Nile","Education : Access to education (preschool or basic) - ALL children","Proportion",0.6332,0.5372,0.7292
9,"Blue Nile","Education : Access to preschool education - MALES","Proportion",0.4624,0.3122,0.6127
9,"Blue Nile","Education : Access to basic education - MALES","Proportion",0.7386,0.6171,0.8601
9,"Blue Nile","Education : Access to education (preschool or basic) - MALES","Proportion",0.6557,0.5478,0.7636
9,"Blue Nile","Education : Access to preschool education - FEMALES","Proportion",0.4526,0.3219,0.5833
9,"Blue Nile","Education : Access to basic education - FEMALES","Proportion",0.6917,0.5549,0.8285
9,"Blue Nile","Education : Access to education (preschool or basic) - FEMALES","Proportion",0.6141,0.4982,0.7301
16,"Central Darfur","Education : Access to preschool education - ALL children","Proportion",0.2533,0.0789,0.4278
16,"Central Darfur","Education : Access to basic education - ALL children","Proportion",0.6208,0.4507,0.791
16,"Central Darfur","Education : Access to education (preschool or basic) - ALL children","Proportion",0.4914,0.3402,0.6426
16,"Central Darfur","Education : Access to preschool education - MALES","Proportion",0.2428,0.0465,0.439
16,"Central Darfur","Education : Access to basic education - MALES","Proportion",0.6426,0.4649,0.8203
16,"Central Darfur","Education : Access to education (preschool or basic) - MALES","Proportion",0.4965,0.3349,0.6581
16,"Central Darfur","Education : Access to preschool education - FEMALES","Proportion",0.2593,0.0806,0.438
16,"Central Darfur","Education : Access to basic education - FEMALES","Proportion",0.5858,0.4014,0.7702
16,"Central Darfur","Education : Access to education (preschool or basic) - FEMALES","Proportion",0.4753,0.3256,0.6251
17,"East Darfur","Education : Access to preschool education - ALL children","Proportion",0.3242,0.205,0.4435
17,"East Darfur","Education : Access to basic education - ALL children","Proportion",0.6234,0.5079,0.7389
17,"East Darfur","Education : Access to education (preschool or basic) - ALL children","Proportion",0.5191,0.43,0.6082
17,"East Darfur","Education : Access to preschool education - MALES","Proportion",0.3321,0.1986,0.4656
17,"East Darfur","Education : Access to basic education - MALES","Proportion",0.6543,0.3996,0.909
