"stateID","state","indicator","type","estimate","lcl","ucl"
7,"Al-Gadarif","ANC : Gestational age (months) at first ANC visit for most recent pregnancy","Mean",3.46,3.06,3.87
7,"Al-Gadarif","ANC : Number of ANC visits during most recent pregnancy","Mean",3.09,2.63,3.54
7,"Al-Gadarif","ANC : Did not attend ANC during most recent pregnancy","Proportion",18.65,10.49,26.82
7,"Al-Gadarif","ANC : Attended four or more ANC visits during most recent pregnancy","Proportion",38.53,29.01,48.05
7,"Al-Gadarif","ANC : Number of months FeFol tablets consumed during most recent pregnancy","Mean",2.46,2.04,2.87
7,"Al-Gadarif","ANC : Consumed any FeFol tablets during most recent pregnancy","Proportion",74.03,65.46,82.59
7,"Al-Gadarif","ANC : Consumed FeFol tablets for at least 3 months during most recent pregnancy","Proportion",46.43,36.66,56.2
7,"Al-Gadarif","ANC : Received Vitamin A tablets postpartum (most recent birth)","Proportion",23.3,13.12,33.48
7,"Al-Gadarif","ANC : Experienced night-blindness during most recent pregnancy","Proportion",11.62,4.74,18.51
7,"Al-Gadarif","ANC : Received postnatal care (most recent birth)","Proportion",31.53,22.3,40.77
7,"Al-Gadarif","ANC : Received tetanus vaccination (2 doses)","Proportion",67.01,56.84,77.18
7,"Al-Gadarif","Health & Nutrition Messages : Carer aware of growth monitoring program","Proportion",29.56,18.34,40.78
7,"Al-Gadarif","Health & Nutrition Messages : Carer aware of CMAM","Proportion",42.25,30.97,53.53
7,"Al-Gadarif","Health & Nutrition Messages : Carer received health and nutrition messages","Proportion",39.63,28.74,50.51
7,"Al-Gadarif","Health & Nutrition Messages : Preferred TV channel : Sudan TV","Proportion",4.53,0.09,8.96
7,"Al-Gadarif","Health & Nutrition Messages : Preferred TV channel : Local State TV","Proportion",1.03,0.01,2.27
7,"Al-Gadarif","Health & Nutrition Messages : Preferred TV channel : Blue Nile TV","Proportion",3.5,0.01,7.06
7,"Al-Gadarif","Health & Nutrition Messages : Preferred TV channel : Sudania 24","Proportion",0.51,0.01,1.55
7,"Al-Gadarif","Health & Nutrition Messages : Preferred TV channel : Umdurman TV","Proportion",2.52,0.01,5.2
7,"Al-Gadarif","Health & Nutrition Messages : Preferred radio station : National Radio","Proportion",13.14,5.63,20.65
7,"Al-Gadarif","Health & Nutrition Messages : Preferred radio station : Local State Radio","Proportion",11.86,4.12,19.61
7,"Al-Gadarif","Health & Nutrition Messages : Preferred radio station : FM100","Proportion",1.21,0.01,3.03
7,"Al-Gadarif","Health & Nutrition Messages : Preferred radio station : Community Radio","Proportion",5.2,0.79,9.6
7,"Al-Gadarif","Health & Nutrition Messages : Preferred radio station : Darfur Radio","Proportion",0.58,0.01,1.58
7,"Al-Gadarif","Health & Nutrition Messages : Preferred medium : Social media","Proportion",12.66,4.36,20.96
7,"Al-Gadarif","Health & Nutrition Messages : Preferred medium : Mobile phone SMS","Proportion",1.95,0.01,4.68
7,"Al-Gadarif","Health & Nutrition Messages : Preferred medium : Internet","Proportion",2.14,0.01,5.03
7,"Al-Gadarif","Health & Nutrition Messages : Preferred medium : Outreach workers","Proportion",42.04,29.45,54.63
7,"Al-Gadarif","Health & Nutrition Messages : Preferred medium : Posters","Proportion",5.34,0.18,10.5
7,"Al-Gadarif","Health & Nutrition Messages : Preferred medium : Radio","Proportion",33,20.48,45.53
7,"Al-Gadarif","Health & Nutrition Messages : Preferred medium : TV","Proportion",13.76,6.24,21.29
7,"Al-Gadarif","Health & Nutrition Messages : Preferred programs : News","Proportion",33.16,20.48,45.85
7,"Al-Gadarif","Health & Nutrition Messages : Preferred programs : Serials","Proportion",11.93,6.06,17.79
7,"Al-Gadarif","Health & Nutrition Messages : Preferred programs : Talk shows","Proportion",6.19,1.9,10.48
7,"Al-Gadarif","Health & Nutrition Messages : Preferred programs : Children's programs","Proportion",4.7,0.82,8.58
7,"Al-Gadarif","Health & Nutrition Messages : Preferred programs : Documentaries","Proportion",1.46,0.01,3.97
7,"Al-Gadarif","Health & Nutrition Messages : Preferred time to receive health messages : Morning","Proportion",28.24,16.62,39.86
7,"Al-Gadarif","Health & Nutrition Messages : Preferred time to receive health messages : Afternoon","Proportion",11.87,5.37,18.37
7,"Al-Gadarif","Health & Nutrition Messages : Preferred time to receive health messages : Evening","Proportion",21.07,13.06,29.09
7,"Al-Gadarif","Health & Nutrition Messages : Preferred time to receive health messages : Night","Proportion",7.57,2.55,12.59
7,"Al-Gadarif","Carer : Mean MUAC (mm)","Mean",270.04,263.61,276.48
7,"Al-Gadarif","Carer : MUAC < 210 mm (GAM)","Proportion",7.71,3.78,11.64
7,"Al-Gadarif","Carer : MUAC between 185 mm and 210 mm (MAM)","Proportion",5.7,1.42,9.98
7,"Al-Gadarif","Carer : MUAC < 185 mm (SAM)","Proportion",1.92,0.22,3.63
7,"Al-Gadarif","Carer : Mid-upper arm circumference < 230 mm (as in S3M-I)","Proportion",12.03,6.6,17.46
7,"Al-Gadarif","Household : Time to health facility in hours (mean)","Mean",0.42,0.25,0.59
7,"Al-Gadarif","Household : Time to health facility < 30 minutes","Proportion",84.74,73.28,96.2
7,"Al-Gadarif","Household : Time to health facility < 1 hour","Proportion",94.61,87,99.99
7,"Al-Gadarif","Carer : CHW present at health facility within area","Proportion",47.79,32.19,63.39
7,"Al-Gadarif","Carer : Medical assistant present at health facility within area","Proportion",9.11,0.88,17.33
7,"Al-Gadarif","Carer : Village midwife present at health facility within area","Proportion",25.53,13.58,37.48
7,"Al-Gadarif","Carer : Any health worker present at health facility within area","Proportion",65.08,49.95,80.2
7,"Al-Gadarif","Household : Salt iodization : Substandard or no iodization","Proportion",99.55,98.44,99.99
7,"Al-Gadarif","Household : Salt iodization : Any iodization","Proportion",14.02,2.92,25.13
7,"Al-Gadarif","Household : Salt iodization : Adequate (> 15 ppm)","Proportion",0.46,0.01,1.6
7,"Al-Gadarif","Carer : Marital status : Married","Proportion",97.4,95.35,99.45
7,"Al-Gadarif","Carer : Marital status : Single (never married)","Proportion",0.2,0.01,0.8
7,"Al-Gadarif","Carer : Marital status : Divorced","Proportion",1.39,0.01,2.96
7,"Al-Gadarif","Carer : Marital status : Widowed","Proportion",0.89,0.01,1.96
7,"Al-Gadarif","Carer (aged 20 - 24) : Married at or before 15 years of age","Proportion",27.66,19.58,35.75
7,"Al-Gadarif","Carer (aged 20 - 24) : Married at or before 18 years of age","Proportion",67.21,59.27,75.14
7,"Al-Gadarif","Carer (aged 20 - 24) : Carers first giving birth between 15 and 19 years of age","Proportion",77.13,67.1,87.17
7,"Al-Gadarif","Carer : Age at first parity","Mean",18.57,17.88,19.27
7,"Al-Gadarif","Carer : Carer is circumcised (FGM) : All ages","Proportion",64.18,50.83,77.54
7,"Al-Gadarif","Carer : Carer is circumcised (FGM) : 15 - 49 years (MICS compatible)","Proportion",64.36,51.32,77.4
7,"Al-Gadarif","Carer : Carer is circumcised (FGM) : 15 - 19 years of age","Proportion",69.55,43.65,95.45
7,"Al-Gadarif","Carer : Carer is circumcised (FGM) : 20 - 24 years of age","Proportion",64.03,47.65,80.42
7,"Al-Gadarif","Carer : Carer is circumcised (FGM) : 25 - 29 years of age","Proportion",60.47,44.2,76.73
7,"Al-Gadarif","Carer : Carer is circumcised (FGM) : 30 - 34 years of age","Proportion",66.53,48.7,84.36
7,"Al-Gadarif","Carer : Carer is circumcised (FGM) : 35 - 39 years of age","Proportion",67.56,48.82,86.29
7,"Al-Gadarif","Carer : Carer is circumcised (FGM) : 40 - 44 years of age","Proportion",68.45,42.16,94.75
7,"Al-Gadarif","Carer : Carer is circumcised (FGM) : 45 - 49 years of age","Proportion",80.17,34.8,99.99
7,"Al-Gadarif","Carer : Carer is circumcised (FGM) : 50 years or older","Proportion",38.66,0.01,99.28
7,"Al-Gadarif","Danger Signs : Number of danger signs identified by carer (max = 5)","Mean",1.59,1.39,1.78
7,"Al-Gadarif","Danger Signs : Carer identified not feeding as danger sign","Proportion",18.27,10.07,26.47
7,"Al-Gadarif","Danger Signs : Carer identified convulsions as a danger sign","Proportion",9.42,4.51,14.33
7,"Al-Gadarif","Danger Signs : Carer identified vomiting as a danger sign","Proportion",31.21,20.15,42.26
7,"Al-Gadarif","Danger Signs : Carer identified bloody diarrhoea as a danger sign","Proportion",35.27,23.87,46.68
7,"Al-Gadarif","Danger Signs : Carer identified fever as a danger sign","Proportion",78.22,71.06,85.37
7,"Al-Gadarif","Danger Signs : Carer identified loss of consciousness as a danger sign","Proportion",5.36,2.13,8.58
7,"Al-Gadarif","Danger Signs : Carer identified becoming progressively sicker as a danger sign","Proportion",8.55,4.18,12.92
7,"Al-Gadarif","Danger Signs : Carer identified rapid / difficulty breathing as a danger sign","Proportion",18.36,9.7,27.02
7,"Al-Gadarif","Carer : Diet : Consumes grains, white roots and tubers, and plantains","Proportion",96.71,92.21,99.99
7,"Al-Gadarif","Carer : Diet : Consumes green leafy vegetables","Proportion",32.72,23.72,41.71
7,"Al-Gadarif","Carer : Diet : Consumes vitamin A-rich fruits and vegetables","Proportion",8.49,3.48,13.51
7,"Al-Gadarif","Carer : Diet : Consumes other fruits and vegetables","Proportion",20.49,11.31,29.66
7,"Al-Gadarif","Carer : Diet : Consumes organ meat","Proportion",1.67,0.01,4.17
7,"Al-Gadarif","Carer : Diet : Consumes meat, poultry and fish","Proportion",51.02,39.64,62.41
7,"Al-Gadarif","Carer : Diet : Consumes eggs","Proportion",3.9,0.17,7.63
7,"Al-Gadarif","Carer : Diet : Consumes legumes and pulses","Proportion",17.42,10.66,24.17
7,"Al-Gadarif","Carer : Diet : Consumes nuts and seeds","Proportion",4.57,0.01,9.72
7,"Al-Gadarif","Carer : Diet : Consumes dairy","Proportion",34.99,23.31,46.67
7,"Al-Gadarif","Carer : Diet : Women's Dietary Diversity Score","Mean",2.72,2.5,2.94
7,"Al-Gadarif","Carer : Diet : Minimum Dietary Diversity - Women","Proportion",3.73,0.67,6.78
7,"Al-Gadarif","Carer : Diet : Protein-rich animal sources","Proportion",70.42,58.51,82.33
7,"Al-Gadarif","Carer : Diet : Protein-rich plant sources","Proportion",22.24,14.32,30.15
7,"Al-Gadarif","Carer : Diet : Protein-rich (any source)","Proportion",77.71,67.32,88.1
7,"Al-Gadarif","Carer : Diet : Consumes plant sources of vitamin A","Proportion",38.55,28.74,48.37
7,"Al-Gadarif","Carer : Diet : Consumes animal sources of vitamin A","Proportion",39.29,27.9,50.68
7,"Al-Gadarif","Carer : Diet : Consumes any source of vitamin A","Proportion",62.04,52.02,72.06
7,"Al-Gadarif","Carer : Diet : Consumes iron-rich foods","Proportion",69.27,60.17,78.38
7,"Al-Gadarif","Carer : Diet : Consumes calcium-rich foods","Proportion",34.73,23.08,46.39
7,"Al-Gadarif","Carer : Diet : Consumes zinc-rich foods","Proportion",63.5,53.35,73.66
7,"Al-Gadarif","Carer : Diet : Consumes vitamin B1-rich foods","Proportion",77.72,67.14,88.31
7,"Al-Gadarif","Carer : Diet : Consumes vitamin B2-rich foods","Proportion",85.09,77.45,92.73
7,"Al-Gadarif","Carer : Diet : Consumes vitamin B3-rich foods","Proportion",63.74,53.35,74.12
7,"Al-Gadarif","Carer : Diet : Consumes vitamin B6-rich foods","Proportion",86.63,79.69,93.57
7,"Al-Gadarif","Carer : Diet : Consumes vitamin B12-rich foods","Proportion",74.4,64.18,84.61
7,"Al-Gadarif","Carer : Diet : Consumed vitamin B1 / B2 / B3 / B6 / B12-rich foods","Proportion",56.28,44.8,67.75
7,"Al-Gadarif","Child : Child has a birth certificate / birth has been registered","Proportion",70.61,60.5,80.72
7,"Al-Gadarif","Child : Slept under ITN on previous night","Proportion",40.42,26.91,53.92
7,"Al-Gadarif","Child : Mean MUAC (mm)","Mean",143.59,141.82,145.36
7,"Al-Gadarif","Child : MUAC < 125 mm (GAM)","Proportion",6.62,2.99,10.25
7,"Al-Gadarif","Child : MUAC between 115 mm and 125 mm (MAM)","Proportion",5.61,2.03,9.19
7,"Al-Gadarif","Child : MUAC < 115 mm (SAM)","Proportion",0.97,0.01,1.96
7,"Al-Gadarif","Child : Mean HAZ","Mean",-1.76,-1.98,-1.54
7,"Al-Gadarif","Child : HAZ < -2","Proportion",45.16,39.03,51.28
7,"Al-Gadarif","Child : HAZ between -3 and -2","Proportion",23.14,14.73,31.54
7,"Al-Gadarif","Child : HAZ < - 3","Proportion",21.95,16.37,27.54
7,"Al-Gadarif","Child : Mean WAZ","Mean",-1.42,-1.59,-1.24
7,"Al-Gadarif","Child : WAZ < -2","Proportion",29.98,23.87,36.08
7,"Al-Gadarif","Child : WAZ between -3 and -2","Proportion",21.64,13.98,29.3
7,"Al-Gadarif","Child : WAZ < - 3","Proportion",8.26,3.81,12.72
