"stateID","state","indicator","type","estimate","lcl","ucl"
1,"Northern","WASH: Uses improved drinking water sources","Proportion",96.14,93.74,98.53
1,"Northern","WASH: Public pipe network in house","Proportion",83.51,71.4,95.62
1,"Northern","WASH: Public pipe network in yard","Proportion",0.82,0.01,3.32
1,"Northern","WASH: Public water pipe","Proportion",1.81,0.01,6.02
1,"Northern","WASH: Protected ground water","Proportion",5.89,0.01,13.17
1,"Northern","WASH: Protected well","Proportion",4.09,0.01,11.19
1,"Northern","WASH: Filtered surface water","Proportion",1.58,0.01,4.28
1,"Northern","WASH: Trucked from improved sources","Proportion",0,0,0.03
1,"Northern","WASH: Bottled water","Proportion",0,0,0
1,"Northern","WASH: Unfiltered surface water","Proportion",0.72,0.01,2.83
1,"Northern","WASH: Unprotected well","Proportion",0.19,0.01,0.78
1,"Northern","WASH: Trucked from unprotected sources","Proportion",0,0,0
1,"Northern","WASH: Uses basic drinking water sources (within 30 minutes)","Proportion",96.45,94.03,98.87
1,"Northern","WASH: Public pipe network in house within 30 minutes","Proportion",84.02,72.93,95.1
1,"Northern","WASH: Public pipe network in yard within 30 minutes","Proportion",0.82,0.01,3.11
1,"Northern","WASH: Public water pipe within 30 minutes","Proportion",1.76,0.01,5.95
1,"Northern","WASH: Protected ground water within 30 minutes","Proportion",5.78,0.01,12.89
1,"Northern","WASH: Protected well within 30 minutes","Proportion",4.08,0.01,11.16
1,"Northern","WASH: Filtered surface water within 30 minutes","Proportion",1.48,0.01,4.16
1,"Northern","WASH: Trucked from improved sources within 30 minutes","Proportion",0,0,0.02
1,"Northern","WASH: Bottled water within 30 minutes","Proportion",0,0,0
1,"Northern","WASH: Unfiltered surface water within 30 minutes","Proportion",0.04,0.01,0.26
1,"Northern","WASH: Unprotected well within 30 minutes","Proportion",0.19,0.01,0.83
1,"Northern","WASH: Trucked from unprotected sources within 30 minutes","Proportion",0,0,0
2,"River Nile","WASH: Uses improved drinking water sources","Proportion",93.12,88.76,97.49
2,"River Nile","WASH: Public pipe network in house","Proportion",76.87,64.59,89.14
2,"River Nile","WASH: Public pipe network in yard","Proportion",2.66,0.01,6.36
2,"River Nile","WASH: Public water pipe","Proportion",1.26,0.01,3.08
2,"River Nile","WASH: Protected ground water","Proportion",6.14,0.01,13.77
2,"River Nile","WASH: Protected well","Proportion",5.57,0.01,11.43
2,"River Nile","WASH: Filtered surface water","Proportion",3.8,0.01,8.56
2,"River Nile","WASH: Trucked from improved sources","Proportion",0.63,0.01,2.42
2,"River Nile","WASH: Bottled water","Proportion",0,0,0
2,"River Nile","WASH: Unfiltered surface water","Proportion",1.27,0.01,4.7
2,"River Nile","WASH: Unprotected well","Proportion",0,0,0.04
2,"River Nile","WASH: Trucked from unprotected sources","Proportion",0,0,0
2,"River Nile","WASH: Uses basic drinking water sources (within 30 minutes)","Proportion",89.86,83.58,96.14
2,"River Nile","WASH: Public pipe network in house within 30 minutes","Proportion",76.41,64.45,88.37
2,"River Nile","WASH: Public pipe network in yard within 30 minutes","Proportion",2.09,0.01,4.5
2,"River Nile","WASH: Public water pipe within 30 minutes","Proportion",1.1,0.01,2.83
2,"River Nile","WASH: Protected ground water within 30 minutes","Proportion",5.52,0.01,12.53
2,"River Nile","WASH: Protected well within 30 minutes","Proportion",4.41,0.01,9.56
2,"River Nile","WASH: Filtered surface water within 30 minutes","Proportion",2.66,0.01,6.33
2,"River Nile","WASH: Trucked from improved sources within 30 minutes","Proportion",0.34,0.01,1.49
2,"River Nile","WASH: Bottled water within 30 minutes","Proportion",0,0,0
2,"River Nile","WASH: Unfiltered surface water within 30 minutes","Proportion",0.78,0.01,2.7
2,"River Nile","WASH: Unprotected well within 30 minutes","Proportion",0,0,0
2,"River Nile","WASH: Trucked from unprotected sources within 30 minutes","Proportion",0,0,0
3,"Khartoum","WASH: Uses improved drinking water sources","Proportion",94.98,92.37,97.59
3,"Khartoum","WASH: Public pipe network in house","Proportion",77.39,63.11,91.68
3,"Khartoum","WASH: Public pipe network in yard","Proportion",2.37,0.01,8
